"filename", "language", "Python", "pip requirements", "YAML", "Markdown", "Docker", "HTML", "MS SQL", "JSON", "comment", "blank", "total"
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_summaries\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_summaries\models.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_summaries\serializers.py", "Python", 57, 0, 0, 0, 0, 0, 0, 0, 11, 19, 87
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_summaries\tasks.py", "Python", 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_summaries\urls.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_summaries\utils_images.py", "Python", 96, 0, 0, 0, 0, 0, 0, 0, 24, 18, 138
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_summaries\utils_io.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 1, 5, 38
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_summaries\utils_openai.py", "Python", 296, 0, 0, 0, 0, 0, 0, 0, 62, 54, 412
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_summaries\views.py", "Python", 141, 0, 0, 0, 0, 0, 0, 0, 64, 36, 241
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\db.sqlite3", "MS SQL", 0, 0, 0, 0, 0, 0, 488, 0, 0, 17, 505
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\docker-compose.yml", "YAML", 0, 0, 30, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\dotori_core\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\dotori_core\asgi.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\dotori_core\celery.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\dotori_core\middleware.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 3, 3, 20
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\dotori_core\routing.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\dotori_core\settings.py", "Python", 126, 0, 0, 0, 0, 0, 0, 0, 47, 22, 195
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\dotori_core\urls.py", "Python", 29, 0, 0, 0, 0, 0, 0, 0, 9, 14, 52
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\manage.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\requirements.txt", "pip requirements", 0, 255, 0, 0, 0, 0, 0, 0, 0, 1, 256
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\templates\index.html", "HTML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 21
"Total", "-", 4496, 255, 30, 17, 8, 19, 488, 278, 900, 1152, 7643
